"logFC","logCPM","LR","PValue","FDR","transcript"
-1.2056456898564,5.52333436091873,8.6838450104153,0.00321042963960374,0.0108250902556076,"TBC1D12"
-1.23772393362019,3.69109170355448,8.68081672864349,0.00321576844439479,0.0108414564508465,"ANKEF1"
1.43428823589773,-0.313413847192463,8.67586742289901,0.00322451340927484,0.0108692993099248,"PRR4"
1.06623550281915,4.3057173641402,8.67095691938683,0.00323321369900259,0.0108969230966406,"AL354702.1"
1.1712628903342,1.44090348431734,8.67056094851244,0.0032339163074611,0.0108969230966406,"AL137191.1"
-1.19714498773363,6.82139431426993,8.6704174920832,0.00323417089401906,0.0108969230966406,"CAMK2G"
-3.14621203599316,-1.4713803380336,8.66932836504392,0.00323610438994322,0.0109017943216294,"MRPL9P1"
-2.16747290079137,-0.668803601681392,8.66782235765114,0.00323877989696653,0.0109091633901441,"RF00432"
1.09211402782464,2.97132711533662,8.66694537138583,0.00324033894808095,0.0109127702527506,"MST1"
-1.81600234325224,-0.0743102036287965,8.66386092568703,0.00324582834302195,0.0109296105940384,"OPRM1"
-1.20118516828263,5.84087028261825,8.6578386956525,0.00325657337519976,0.0109641403950091,"TBPL1"
-1.19584300581879,6.90244847722312,8.6568468920184,0.00325834644306199,0.0109668710871826,"EML4"
-1.20116339480116,5.83340116003902,8.6568361041436,0.00325836573416159,0.0109668710871826,"LINC01128"
-1.87466956841786,-0.200035593713206,8.6554623987885,0.00326082317104739,0.0109734898402968,"SVOPL"
1.06556492816239,4.27424846252075,8.65299607338753,0.00326523993589889,0.0109866992393816,"CAPS2"
-1.19306549846668,7.88616165890134,8.65175880750967,0.00326745795608046,0.0109925075608535,"GARS"
-1.41302064879559,1.37981104171148,8.65126775529578,0.00326833867933196,0.0109938158254971,"TAF4B"
-1.40675105359732,1.42016392165314,8.6505437102811,0.00326963772534706,0.010996530610436,"TSPYL5"
1.04801256722443,9.06894459867979,8.64610932806673,0.0032776051326813,0.0110216684106653,"MACF1"
-2.34065985815585,-0.877917797647891,8.64456189556966,0.00328039009990832,0.0110293741746617,"IBA57-DT"
-1.35231819211153,1.83294077447251,8.64361120151458,0.0032821022891005,0.0110334712537185,"MINOS1P2"
-1.19189412336565,8.22779763132566,8.64301219032759,0.00328318156785041,0.0110354397600891,"CHGB"
-1.19700650661742,6.34317905465604,8.64184841192258,0.00328527945696691,0.0110408309159712,"LDOC1"
-1.2968499056196,2.43381862559472,8.64128500938883,0.00328629556585735,0.0110425854612212,"PRX"
1.06608122907157,4.17378529645805,8.64052376882303,0.00328766898736858,0.0110455399377217,"EEF1A1P12"
-1.35892930125012,1.77143329886758,8.63899463364848,0.00329042959869485,0.0110512180978133,"CNKSR1"
-1.20866568529745,4.9270746166143,8.63880660352861,0.00329076921991332,0.0110512180978133,"TBC1D25"
1.0558902529583,5.26940818404722,8.63876613146473,0.00329084232547626,0.0110512180978133,"AMIGO2"
1.11535143654655,2.29699126207628,8.63522300717605,0.00329724874922035,0.0110710686559371,"ANP32BP1"
-1.30356168329399,2.3309871284962,8.62812820423128,0.00331011519503338,0.0111126006066966,"AL390195.2"
1.32916390682508,0.167135868472722,8.62740349361768,0.0033114323290492,0.0111153529687502,"AC090181.3"
-1.20868441163795,4.83635248237184,8.62289147136902,0.00331964474942609,0.0111412461620378,"SMIM8"
-2.33738089871435,-0.881246917254472,8.61806595285738,0.00332845068139552,0.0111691231993023,"AL513497.1"
1.07926635651372,3.33943478231597,8.61526848704404,0.00333356655405101,0.0111846111702414,"NPHP3"
1.05860903860221,4.69908573596512,8.61187890525982,0.00333977597066432,0.0112037629440626,"RCBTB2"
-1.42311087138554,1.29215381621952,8.61072547969848,0.00334189162502792,0.0112080719097384,"AL162231.2"
1.05813994192385,4.74305105127672,8.61063190775714,0.00334206331775261,0.0112080719097384,"TMEM129"
-1.20275306354882,5.22254901313291,8.60734097324398,0.00334810747429055,0.0112266574055419,"PPP3CC"
1.12938534349892,1.99248573406626,8.60625605828986,0.00335010247198781,0.0112302525444576,"TTK"
-1.19474238530968,6.25905047369491,8.60621146352044,0.00335018450100408,0.0112302525444576,"LINC00632"
-1.18886523777768,8.13998829367938,8.60103534518526,0.00335971949965712,0.0112605263542264,"DDAH1"
-1.80937765996249,-0.0807795832818766,8.59938339135017,0.00336276838954636,0.0112690553288066,"ATOH7"
-1.22669250666788,3.8485782032881,8.59901585420646,0.00336344710824578,0.0112696401983975,"SORCS3"
-1.19110978073867,7.00687863597009,8.5984192626076,0.00336454911071025,0.0112716429440341,"FBXL2"
-2.33474049579063,-0.883930263957118,8.59676898922899,0.00336759934825609,0.0112801709324472,"OR1F1"
-1.4292321943444,1.24674764779688,8.59567866479362,0.00336961616144955,0.0112852353072701,"RGS10"
1.04828105323787,6.41488630543719,8.59230667979444,0.0033758612194784,0.0113044569255103,"CHURC1"
1.04860845327644,6.28334477237902,8.59134657201758,0.00337764153041457,0.0113087243091412,"TMEM43"
-1.62337957219004,0.408990905008379,8.59014026241038,0.00337987972198652,0.011314523220884,"TMEM51"
1.1138990961276,2.27192998812655,8.58960508315024,0.00338087317842355,0.0113161541305965,"COL16A1"
-1.57758926205916,0.563867952869335,8.58859380937571,0.00338275122238439,0.0113198778273913,"AC023632.2"
-2.33370906524979,-0.884979808826023,8.58846066579038,0.00338299856330413,0.0113198778273913,"TRARG1"
-1.38008635720293,1.56776702952238,8.58698970586781,0.00338573239024641,0.0113273297989504,"LINC00346"
-1.20985789073342,4.57513958862612,8.58604165296443,0.00338749556748494,0.0113315326136521,"CDC25A"
1.04678266714804,6.86948683272288,8.58533329008553,0.00338881358135056,0.0113342452746293,"USO1"
1.15372525679368,1.59401425889928,8.58276757546226,0.0033935918378068,0.0113485285395957,"EEF1A1P7"
1.18456271272712,1.22131927346469,8.58224960310976,0.00339455731376281,0.0113500590990615,"RAD51B"
-1.26458482714626,2.8511714470124,8.57743798494321,0.00340353929734603,0.0113783892273824,"AC092111.1"
-1.19382487804067,6.02731111146529,8.57673402927063,0.0034048554156745,0.0113810869225596,"STXBP5"
-1.24988861066932,3.14193169391611,8.57404396823597,0.00340988953221489,0.0113962097524024,"FAM89B"
1.99894845256253,-1.72052529364342,8.57253327122477,0.00341271993183362,0.011403964107691,"CNFN"
1.09418943424113,2.7272099527293,8.5712823428296,0.00341506544378351,0.0114100960836247,"KCNS3"
-1.2423723208622,3.31096397815453,8.56910364690727,0.00341915444885764,0.0114220505516165,"INPP4B"
1.66842803543863,-1.07382132552012,8.56844479295407,0.00342039197446527,0.0114228627470311,"GLI1"
-2.33122081528769,-0.887508857824309,8.56843005306146,0.00342041966561736,0.0114228627470311,"AC005534.2"
1.11551316678481,2.2095998545102,8.56803804123824,0.00342115620366914,0.0114236156953111,"ALDH16A1"
1.49467046364769,-0.56993175705354,8.56482405172259,0.00342720094544155,0.0114420904454831,"C2orf73"
1.05933206470732,4.35387538208832,8.56379121564311,0.0034291457661475,0.0114468736805449,"IFT74"
-1.29996189815666,2.30521313974577,8.5613054313483,0.00343383107559317,0.0114608021803283,"A4GALT"
1.07068310708725,3.58734025172458,8.55938958514,0.0034374465824553,0.0114711564662647,"IQCK"
-1.80480606225412,-0.0852492257785301,8.55504560646496,0.00344565870422201,0.0114968448062055,"PLG"
-1.71388397618686,0.133456289215528,8.55417919884012,0.00344729899818548,0.0115006010757376,"SDR16C5"
-1.41135112043641,1.33097806930427,8.55344196600782,0.00344869536190041,0.0115035425651691,"AL137002.2"
-1.21221359887673,4.30069846716299,8.5511071891173,0.00345312136625647,0.0115165874035459,"RAB3D"
1.9963515922784,-1.718247263594,8.5506966290632,0.00345390025609721,0.0115174665857504,"AL354892.3"
-1.1849281526268,8.12866328481118,8.54845551673287,0.00345815510922931,0.0115299348152586,"PAK3"
1.04570647040409,6.33470492364868,8.5443970157598,0.00346587392466202,0.0115539468999322,"SNX1"
1.13998883021516,1.75092038537318,8.54107801185972,0.00347219931716703,0.0115733073571902,"INTS6P1"
1.99505194168687,-1.71710800126399,8.53977914915079,0.00347467789743687,0.0115781157369572,"AC114490.1"
1.99505194168687,-1.71710800126399,8.53977914915079,0.00347467789743687,0.0115781157369572,"AL645949.1"
1.04317892077925,6.84332424767723,8.52289991985301,0.00350705208422493,0.0116842492452818,"ZNF518A"
1.0419427320979,7.27828569892229,8.51501974176786,0.00352227102925272,0.011733204477773,"NBR1"
1.08341987573107,2.94710588748584,8.51148123113939,0.00352912676519683,0.0117542901885978,"AGFG2"
1.04077348039392,7.81100269560049,8.50670267061292,0.00353840659135312,0.0117818456130591,"MEGF8"
1.78996515070035,-1.36229608968232,8.50656111708689,0.00353868186224645,0.0117818456130591,"AC004854.2"
1.13443971279853,1.80031357491121,8.5064071160041,0.00353898136390831,0.0117818456130591,"PPCDC"
