Sample_ID	Mutant.309.R1.drna.DVBt.DVB.S7.R1.001	Mutant.309.R2.drna.DVBt.DVB.S8.R1.001	Mutant.309.R3.drna.DVBt.DVB.S9.R1.001	WT.39.R1.drna.DVBt.DVB.S13.R1.001	WT.39.R2.drna.DVBt.DVB.S14.R1.001	WT.39.R3.drna.DVBt.DVB.S15.R1.001	GBA.KTI6.1.dRNA.DVBt.DVB.S10.R1.001.bam	GBA.KTI6.2.dRNA.DVBt.DVB.S11.R1.001.bam	GBA.KTI6.3.dRNA.DVBt.DVB.S12.R1.001.bam	WT.56.1.dRNA.DVBt.DVB.S13.R1.001.bam	WT.56.2.dRNA.DVBt.DVB.S14.R1.001.bam	WT.56.3.dRNA.DVBt.DVB.S15.R1.001.bam
PYCARD	16.0	14.0	19.0	10.0	4.0	3.0	8.0	3.0	7.0	14.0	11.0	8.0
PYCARD-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
PYCR1	854.0	791.0	1017.0	793.0	793.0	793.0	616.0	754.0	699.0	825.0	914.0	998.0
PYCR2	1320.0	1470.0	1463.0	563.0	549.0	427.0	1352.0	1247.0	1046.0	811.0	742.0	1035.0
PYCR3	173.0	211.0	251.0	130.0	130.0	212.0	195.0	270.0	186.0	125.0	154.0	162.0
PYDC1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	5.0	3.0
PYDC2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
PYGB	2514.0	2876.0	4158.0	4423.0	5681.0	7009.0	2902.0	3322.0	2732.0	5894.0	6301.0	6200.0
PYGL	2492.0	2455.0	2459.0	486.0	196.0	35.0	1559.0	1130.0	1034.0	822.0	606.0	879.0
PYGM	21.0	4.0	70.0	159.0	266.0	341.0	19.0	23.0	16.0	188.0	130.0	73.0
PYGO1	2911.0	3141.0	2837.0	1994.0	2523.0	2089.0	2369.0	1973.0	1860.0	2066.0	1535.0	1751.0
PYGO2	1351.0	1330.0	1567.0	1172.0	1306.0	1166.0	1535.0	1549.0	1301.0	1385.0	1185.0	1245.0
PYHIN1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PYHIN5P	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PYM1	446.0	515.0	588.0	382.0	520.0	480.0	369.0	363.0	322.0	333.0	428.0	436.0
PYROXD1	283.0	277.0	281.0	322.0	355.0	389.0	351.0	321.0	254.0	182.0	248.0	307.0
PYROXD2	329.0	279.0	306.0	120.0	72.0	35.0	259.0	208.0	184.0	272.0	148.0	183.0
PYURF	1367.0	1663.0	1570.0	1159.0	1304.0	1385.0	1205.0	1174.0	1029.0	1092.0	1119.0	1212.0
PYY	0.0	0.0	1.0	0.0	4.0	3.0	4.0	4.0	1.0	9.0	6.0	5.0
PYY2	3.0	5.0	5.0	15.0	15.0	18.0	7.0	8.0	4.0	17.0	18.0	14.0
PYY3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PZP	6.0	4.0	2.0	16.0	10.0	6.0	35.0	12.0	14.0	39.0	42.0	40.0
QDPR	1821.0	1858.0	1919.0	2075.0	2088.0	2255.0	1989.0	1896.0	1559.0	1531.0	1932.0	2360.0
QKI	27145.0	26734.0	24251.0	8248.0	6580.0	2259.0	30126.0	23540.0	18298.0	14422.0	10862.0	13846.0
QPCT	245.0	220.0	416.0	1113.0	987.0	600.0	388.0	529.0	465.0	882.0	1449.0	1600.0
QPCTL	135.0	137.0	140.0	97.0	87.0	98.0	123.0	106.0	110.0	168.0	127.0	124.0
QPRT	607.0	454.0	593.0	1310.0	1105.0	1161.0	530.0	503.0	345.0	1205.0	966.0	791.0
QRFP	6.0	10.0	9.0	4.0	13.0	6.0	11.0	2.0	11.0	7.0	9.0	6.0
QRFPR	0.0	0.0	0.0	10.0	1.0	6.0	11.0	4.0	3.0	11.0	8.0	12.0
QRICH1	2583.0	2479.0	2918.0	2130.0	2404.0	2243.0	2075.0	1943.0	1702.0	2111.0	1841.0	1969.0
QRICH2	240.0	164.0	263.0	463.0	471.0	416.0	164.0	133.0	186.0	368.0	322.0	319.0
QRSL1	520.0	564.0	653.0	515.0	584.0	593.0	474.0	492.0	375.0	479.0	425.0	531.0
QRSL1P1	7.0	7.0	10.0	8.0	5.0	7.0	10.0	8.0	8.0	7.0	8.0	7.0
QRSL1P2	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
QRSL1P3	0.0	7.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	2.0
QSER1	2407.0	2500.0	2412.0	1570.0	1816.0	1323.0	2335.0	1982.0	1662.0	1989.0	1599.0	1941.0
QSOX1	2446.0	2341.0	2622.0	1413.0	1364.0	1095.0	2079.0	2205.0	1786.0	2083.0	1992.0	2164.0
QSOX2	1795.0	1591.0	1517.0	736.0	644.0	720.0	1152.0	896.0	819.0	983.0	599.0	706.0
QTRT1	492.0	482.0	588.0	456.0	407.0	409.0	467.0	467.0	500.0	469.0	477.0	509.0
QTRT1P1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
QTRT2	511.0	614.0	553.0	419.0	550.0	438.0	489.0	450.0	449.0	347.0	399.0	484.0
R3HCC1	776.0	925.0	1128.0	1220.0	1516.0	1648.0	990.0	1057.0	1024.0	1101.0	1393.0	1471.0
R3HCC1L	1041.0	984.0	963.0	890.0	975.0	643.0	1199.0	947.0	797.0	872.0	683.0	748.0
R3HDM1	1465.0	1504.0	2040.0	3038.0	3345.0	3562.0	1436.0	1446.0	1446.0	1837.0	1981.0	2023.0
R3HDM2	1170.0	1000.0	1279.0	1612.0	1412.0	1409.0	878.0	876.0	744.0	1208.0	972.0	1071.0
R3HDM2P1	0.0	2.0	3.0	1.0	4.0	2.0	1.0	0.0	1.0	3.0	0.0	1.0
R3HDM2P2	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
R3HDM4	868.0	881.0	1161.0	1060.0	1251.0	1105.0	786.0	892.0	600.0	1019.0	980.0	852.0
R3HDML	590.0	418.0	530.0	156.0	70.0	2.0	173.0	153.0	74.0	185.0	336.0	211.0
RAB10	7079.0	7637.0	8467.0	8650.0	10087.0	8833.0	5746.0	6033.0	5034.0	5697.0	6405.0	6620.0
RAB11A	6812.0	7237.0	7804.0	8876.0	9989.0	9908.0	5720.0	5641.0	4616.0	6372.0	6652.0	6667.0
RAB11AP1	0.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0
RAB11AP2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RAB11B	2999.0	3278.0	4053.0	3378.0	4142.0	3964.0	2452.0	2781.0	2548.0	3071.0	3023.0	3140.0
RAB11B-AS1	41.0	41.0	40.0	17.0	14.0	11.0	46.0	36.0	32.0	32.0	31.0	40.0
RAB11FIP1	1038.0	796.0	878.0	502.0	421.0	344.0	782.0	625.0	386.0	917.0	741.0	638.0
RAB11FIP1P1	55.0	74.0	41.0	45.0	24.0	5.0	21.0	10.0	27.0	52.0	27.0	15.0
RAB11FIP2	1497.0	1656.0	1961.0	3000.0	3511.0	2962.0	1653.0	1496.0	1221.0	1840.0	2105.0	2160.0
RAB11FIP3	2122.0	2162.0	2294.0	1605.0	1743.0	1853.0	1994.0	1900.0	1600.0	1977.0	1787.0	1981.0
RAB11FIP4	1289.0	1462.0	3181.0	5162.0	6987.0	8602.0	1746.0	2143.0	1791.0	5350.0	5106.0	5416.0
RAB11FIP5	536.0	427.0	600.0	733.0	898.0	884.0	822.0	805.0	585.0	1084.0	1225.0	1086.0
RAB12	1626.0	1639.0	1857.0	1531.0	1575.0	1368.0	1411.0	1309.0	1094.0	1502.0	1463.0	1594.0
RAB13	338.0	309.0	348.0	112.0	55.0	14.0	413.0	329.0	252.0	210.0	213.0	300.0
RAB14	4573.0	5137.0	5552.0	5923.0	7175.0	6480.0	4832.0	4591.0	3664.0	4836.0	5080.0	5576.0
